FILE_VERSION	2.0.0
NO_OF_FRAMES	7500
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-04, 16:06:49.483	137773.03318230
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
91.777	18.934	239.733
93.768	19.107	239.842
95.655	19.173	240.075
97.609	19.294	240.261
99.568	19.477	240.498
101.413	19.495	240.720
103.437	19.745	240.912
105.296	19.780	241.167
107.217	19.951	241.468
109.079	20.146	241.726
110.876	20.197	241.961
112.783	20.355	242.209
114.716	20.501	242.466
116.707	20.657	242.714
118.488	20.613	242.978
120.509	20.893	243.217
122.335	20.951	243.491
124.077	20.955	243.797
126.061	21.219	244.035
127.807	21.281	244.339
129.663	21.452	244.627
131.469	21.607	244.896
133.282	21.701	245.199
135.141	21.803	245.491
136.802	21.791	245.845
138.748	22.070	246.179
140.532	22.159	246.455
142.222	22.128	246.757
144.117	22.528	247.121
145.746	22.481	247.395
147.471	22.470	247.705
149.361	22.832	248.033
151.006	22.804	248.349
152.667	22.829	248.667
154.414	23.014	249.045
156.195	23.198	249.345
157.825	23.327	249.752
159.457	23.344	250.024
161.169	23.358	250.385
162.797	23.667	250.773
164.461	23.698	251.090
166.115	23.795	251.426
167.933	23.974	251.799
169.445	24.101	252.145
171.020	24.148	252.528
172.459	24.800	252.349
174.058	24.815	252.670
175.447	24.902	253.087
177.098	24.944	253.480
178.706	24.960	253.809
180.342	25.105	254.140
181.804	25.269	254.603
183.452	25.340	254.989
185.008	25.409	255.282
186.528	25.647	255.795
188.075	25.669	256.161
189.592	25.683	256.436
191.134	25.941	256.963
192.639	26.006	257.348
193.988	25.821	257.608
195.608	26.303	258.144
197.069	26.278	258.503
198.478	26.199	258.824
200.075	26.539	259.269
201.313	26.494	259.656
202.646	26.573	260.053
204.085	26.688	260.474
205.474	26.748	260.822
206.857	26.866	261.239
208.210	26.809	261.580
209.566	26.993	261.983
210.988	27.166	262.437
212.127	27.037	262.761
213.521	27.356	263.207
214.961	27.464	263.620
216.011	27.251	263.909
217.432	27.663	264.389
218.774	27.710	264.782
219.878	27.536	265.076
221.265	27.916	265.550
222.357	27.758	265.839
223.608	27.845	266.227
224.881	28.176	266.695
225.930	27.974	266.965
227.155	28.176	267.416
228.274	28.237	267.757
229.474	28.273	268.091
230.648	28.446	268.512
231.676	28.378	268.823
232.869	28.458	269.200
233.944	28.616	269.595
235.039	28.656	269.930
236.150	28.791	270.319
237.181	28.787	270.643
238.151	28.755	270.984
239.310	29.028	271.381
240.225	28.930	271.679
241.326	29.152	272.061
242.233	29.013	272.360
243.397	29.259	272.711
244.164	29.192	273.053
245.200	29.289	273.416
246.176	29.317	273.695
247.066	29.476	274.087
247.976	29.460	274.347
248.940	29.504	274.686
249.765	29.596	274.996
250.690	29.707	275.355
251.494	29.787	275.638
252.368	29.742	275.946
253.202	29.853	276.234
253.957	29.775	276.505
254.796	29.940	276.814
255.457	29.785	277.049
256.463	30.093	277.421
257.133	30.099	277.665
257.838	30.029	277.930
258.621	30.135	278.199
259.252	30.148	278.502
260.028	30.277	278.766
260.511	30.036	278.936
261.328	30.201	279.230
261.981	30.370	279.499
262.541	30.237	279.721
263.281	30.378	279.976
263.789	30.234	280.151
264.407	30.372	280.453
265.052	30.442	280.653
265.684	30.519	280.876
266.088	30.468	281.106
266.754	30.586	281.316
267.186	30.435	281.469
267.785	30.545	281.702
268.289	30.577	281.879
268.683	30.581	282.079
269.197	30.624	282.256
269.732	30.703	282.456
270.183	30.747	282.610
270.468	30.654	282.771
270.949	30.722	282.952
271.394	30.805	283.138
271.844	30.833	283.267
272.244	30.915	283.423
272.530	30.780	283.526
272.897	30.936	283.747
273.282	30.982	283.859
273.544	30.924	283.952
273.718	30.746	284.013
274.088	30.837	284.146
274.399	30.873	284.255
274.640	30.982	284.425
274.880	30.960	284.502
275.122	31.020	284.590
275.346	31.027	284.679
275.593	31.080	284.767
275.639	30.886	284.785
275.816	30.897	284.858
276.001	30.935	284.918
276.141	30.929	284.973
276.322	31.006	285.069
276.425	31.023	285.105
276.500	30.984	285.126
276.588	30.982	285.160
276.654	30.982	285.186
276.725	30.992	285.210
276.673	30.996	285.228
276.751	30.973	285.227
276.770	30.928	285.218
276.753	30.941	285.219
276.707	30.912	285.205
276.712	30.939	285.200
276.626	30.876	285.163
276.577	30.864	285.143
276.545	30.905	285.132
276.366	30.811	285.043
276.261	30.777	285.002
276.116	30.758	284.951
275.938	30.681	284.871
275.768	30.631	284.798
275.561	30.579	284.733
275.565	30.785	284.719
275.341	30.745	284.631
275.060	30.684	284.539
274.853	30.648	284.460
274.714	30.629	284.363
274.372	30.464	284.190
274.191	30.600	284.117
273.846	30.539	284.003
273.526	30.476	283.895
273.183	30.448	283.787
272.945	30.503	283.694
272.512	30.250	283.444
272.284	30.424	283.368
271.851	30.350	283.222
271.402	30.273	283.063
270.972	30.193	282.881
270.702	30.242	282.711
270.229	30.167	282.554
269.725	30.118	282.391
269.223	30.095	282.201
268.805	30.119	282.030
268.309	29.924	281.802
267.775	29.868	281.611
267.337	29.986	281.428
266.744	29.893	281.234
266.078	29.742	281.013
265.736	29.809	280.784
264.992	29.673	280.545
264.508	29.781	280.346
263.958	29.675	280.101
263.214	29.475	279.835
262.460	29.324	279.554
261.992	29.551	279.402
261.276	29.334	279.105
260.669	29.408	278.857
259.993	29.333	278.624
259.362	29.254	278.298
258.613	29.188	278.048
257.807	29.101	277.800
257.165	29.046	277.482
256.416	29.047	277.243
255.564	28.939	276.918
254.806	28.931	276.678
254.005	28.809	276.312
253.196	28.776	276.059
252.363	28.756	275.734
251.464	28.556	275.400
250.719	28.614	275.122
249.708	28.417	274.804
249.011	28.510	274.518
247.925	28.258	274.153
247.129	28.374	273.855
246.085	28.067	273.476
245.261	28.187	273.192
244.374	28.079	272.828
243.349	28.010	272.502
242.353	27.948	272.173
241.377	27.800	271.798
240.356	27.743	271.470
239.259	27.671	271.146
238.228	27.533	270.755
237.240	27.578	270.424
236.012	27.336	270.045
235.087	27.329	269.693
233.898	27.139	269.326
232.860	27.079	268.943
231.856	27.217	268.622
230.575	26.931	268.252
229.601	27.027	267.904
228.182	26.686	267.496
227.357	26.853	267.173
226.079	26.725	266.762
224.680	26.425	266.359
223.735	26.524	266.004
222.431	26.395	265.618
221.301	26.298	265.260
220.015	26.176	264.842
218.595	25.956	264.466
217.510	25.996	264.096
216.197	25.850	263.685
214.864	25.824	263.368
213.636	25.688	262.933
212.312	25.594	262.524
210.912	25.481	262.169
209.613	25.313	261.738
208.403	25.368	261.383
207.030	25.373	260.995
205.569	25.092	260.603
204.369	25.162	260.252
202.784	24.817	259.772
201.450	24.837	259.453
200.160	24.857	259.066
198.720	24.658	258.603
197.233	24.560	258.304
195.834	24.585	257.893
194.344	24.369	257.440
192.821	24.273	257.152
191.747	23.781	257.246
190.224	23.615	256.822
188.818	23.756	256.535
187.077	23.506	256.141
185.626	23.367	255.738
184.260	23.407	255.393
182.473	23.109	254.996
181.090	23.004	254.577
179.632	23.070	254.285
177.869	22.769	253.925
176.241	22.769	253.551
174.894	22.661	253.151
173.174	22.432	252.828
171.528	22.405	252.468
170.037	22.367	252.098
168.460	22.215	251.726
166.668	21.998	251.359
165.070	21.996	251.042
163.455	21.872	250.682
161.857	21.737	250.296
160.124	21.622	249.979
158.426	21.554	249.660
156.768	21.446	249.267
154.943	21.189	249.001
153.283	21.054	248.580
151.687	21.134	248.288
149.946	20.946	247.902
148.066	20.682	247.617
146.507	20.815	247.350
144.670	20.619	246.975
142.875	20.366	246.654
141.211	20.415	246.387
139.396	20.200	246.029
137.641	20.198	245.723
135.877	20.035	245.411
134.013	19.850	245.118
132.255	19.735	244.792
130.306	19.509	244.547
128.616	19.514	244.218
126.838	19.464	243.948
124.895	19.112	243.635
123.157	19.138	243.372
121.233	18.958	243.107
119.354	18.875	242.875
117.599	18.877	242.617
115.709	18.751	242.372
113.849	18.582	242.152
111.944	18.349	241.841
110.185	18.382	241.594
108.278	18.133	241.385
106.489	18.122	241.133
104.556	17.925	240.910
102.624	17.824	240.689
100.849	17.856	240.492
98.972	17.764	240.284
96.952	17.498	240.072
95.013	17.402	239.847
93.165	17.333	239.722
91.208	17.188	239.485
89.391	17.161	239.378
87.415	17.039	239.163
85.518	16.996	238.978
83.524	16.761	238.813
81.594	16.660	238.621
79.628	16.541	238.490
77.738	16.440	238.298
75.781	16.366	238.213
73.887	16.212	238.019
71.895	16.129	237.891
69.952	16.020	237.771
67.902	15.844	237.646
66.050	15.853	237.571
63.988	15.623	237.377
62.183	15.639	237.322
60.088	15.384	237.131
58.268	15.408	237.072
56.167	15.184	236.944
54.046	14.955	236.896
52.198	15.003	236.763
50.120	14.839	236.720
48.258	14.802	236.622
46.263	14.630	236.572
44.103	14.377	236.494
42.317	14.478	236.452
40.279	14.301	236.376
38.086	14.009	236.353
36.255	14.081	236.299
34.175	13.932	236.291
32.010	13.613	236.270
30.301	13.764	236.197
28.192	13.577	236.219
26.010	13.318	236.286
24.285	13.441	236.196
22.182	13.158	236.195
20.114	12.979	236.242
18.317	13.126	236.234
16.200	12.908	236.266
14.247	12.794	236.260
12.244	12.783	236.286
10.319	12.657	236.378
8.251	12.429	236.335
6.111	12.265	236.422
4.329	12.345	236.482
2.385	12.179	236.539
0.249	12.032	236.603
-1.815	11.819	236.686
-3.564	11.872	236.718
-5.579	11.754	236.843
-7.585	11.648	236.872
-9.574	11.449	237.029
-11.641	11.234	237.136
-13.441	11.336	237.152
-15.448	11.162	237.274
-17.495	11.004	237.409
-19.360	10.952	237.527
-21.342	10.797	237.688
-23.384	10.608	237.770
-25.179	10.716	237.912
-27.149	10.541	238.042
-29.132	10.401	238.241
-31.066	10.311	238.342
-33.039	10.148	238.472
-35.010	10.028	238.686
-36.921	9.916	238.855
-38.838	9.839	239.071
-40.772	9.690	239.219
-42.770	9.540	239.410
-44.667	9.435	239.604
-46.593	9.293	239.830
-48.490	9.185	239.964
-50.457	9.113	240.200
-52.320	8.986	240.400
-54.235	8.918	240.635
-56.087	8.805	240.855
-57.990	8.719	241.082
-59.875	8.529	241.301
-61.768	8.445	241.566
-63.626	8.358	241.778
-65.457	8.251	242.031
-67.330	8.172	242.270
-69.144	8.069	242.532
-70.991	8.025	242.795
-72.823	7.909	243.046
-74.651	7.870	243.303
-76.415	7.787	243.537
-78.249	7.730	243.825
-80.026	7.583	244.081
-81.825	7.551	244.396
-83.594	7.469	244.618
-85.667	7.085	244.968
-87.425	6.988	245.202
-89.214	6.887	245.556
-90.866	6.866	245.796
-92.547	6.848	246.096
-94.300	6.692	246.395
-96.023	6.661	246.685
-97.778	6.562	246.951
-99.740	6.241	247.235
-101.394	6.163	247.572
-103.021	6.139	247.821
-104.723	6.020	248.154
-106.451	5.992	248.417
-108.081	5.834	248.771
-109.845	5.705	249.037
-111.529	5.540	249.443
-113.196	5.476	249.730
-114.752	5.431	250.057
-116.303	5.441	250.340
-117.974	5.307	250.648
-119.652	5.150	251.023
-121.274	5.048	251.367
-122.776	5.015	251.748
-124.340	5.017	252.000
-126.022	4.818	252.407
-127.648	4.687	252.735
-129.092	4.657	253.096
-130.670	4.575	253.448
-132.225	4.493	253.760
-133.795	4.393	254.168
-135.183	4.402	254.486
-136.792	4.244	254.871
-138.162	4.233	255.209
-139.780	4.055	255.594
-141.286	3.992	255.949
-142.656	3.938	256.335
-144.157	3.787	256.702
-145.661	3.723	257.027
-147.060	3.632	257.454
-148.556	3.579	257.794
-149.972	3.423	258.159
-151.336	3.444	258.529
-152.815	3.280	258.978
-154.142	3.262	259.252
-155.532	3.158	259.711
-156.845	3.125	260.022
-158.240	3.082	260.361
-159.591	2.945	260.792
-160.960	2.884	261.122
-162.253	2.728	261.556
-163.548	2.727	261.825
-164.784	2.626	262.256
-166.197	2.490	262.599
-167.380	2.420	262.982
-168.666	2.373	263.277
-169.946	2.226	263.726
-171.159	2.249	264.013
-172.386	2.122	264.403
-173.659	2.083	264.763
-174.766	2.014	265.123
-175.968	2.011	265.439
-177.180	1.820	265.833
-178.327	1.874	266.149
-179.453	1.766	266.497
-180.649	1.647	266.809
-181.766	1.600	267.172
-182.848	1.621	267.467
-184.013	1.460	267.863
-185.095	1.407	268.181
-186.095	1.379	268.503
-187.315	1.256	268.844
-188.280	1.222	269.236
-189.313	1.200	269.482
-190.382	1.055	269.874
-191.339	1.093	270.160
-192.344	0.995	270.542
-193.370	0.937	270.811
-194.280	0.922	271.161
-195.219	0.823	271.573
-196.181	0.820	271.798
