FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 17:26:47.237	228970.38260560
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-284.424	12.193	290.412
-283.242	12.156	289.876
-256.234	54.612	294.414
0.000	0.000	0.000
0.000	0.000	0.000
-278.240	12.085	287.727
-276.996	11.966	287.168
-249.891	54.583	291.897
0.000	0.000	0.000
0.000	0.000	0.000
-246.024	54.596	290.346
-244.599	54.630	289.858
-243.200	54.695	289.302
-241.947	54.425	288.709
-240.612	54.443	288.193
-239.055	54.643	287.703
-237.708	54.531	287.182
-236.282	54.518	286.627
-234.767	54.440	286.077
-233.357	54.361	285.506
-231.683	54.665	285.051
-230.209	54.696	284.510
-228.639	54.698	284.010
-227.159	54.524	283.421
-225.679	54.404	282.786
-224.151	54.404	282.285
-222.547	54.521	281.722
-220.761	54.679	281.312
-219.231	54.585	280.710
-217.649	54.497	280.105
-216.039	54.501	279.543
-214.334	54.644	279.056
-212.844	54.377	278.418
-211.196	54.209	277.832
-209.305	54.533	277.412
-207.702	54.411	276.718
-205.973	54.322	276.252
-204.218	54.443	275.675
-202.622	54.147	275.038
-200.699	54.435	274.622
-199.011	54.288	274.023
-197.238	54.400	273.564
-195.539	54.124	272.894
-193.687	54.053	272.328
-191.719	54.329	271.869
-189.904	54.288	271.313
-187.959	54.372	270.804
-186.250	54.185	270.240
-184.261	54.285	269.730
-182.440	54.219	269.179
-180.581	54.155	268.649
-178.634	54.173	268.085
-176.730	53.987	267.569
-174.784	53.979	267.061
-172.902	53.860	266.442
-170.847	54.084	266.021
-168.974	53.809	265.439
-166.947	53.800	264.975
-165.047	53.538	264.328
-162.928	53.809	263.896
-160.955	53.612	263.391
-158.847	53.782	262.888
-156.829	53.655	262.384
-154.749	53.699	261.965
-152.749	53.524	261.424
-150.660	53.429	260.901
-148.629	53.323	260.356
-146.534	53.385	259.962
-144.354	53.503	259.529
-142.207	53.384	259.118
-140.083	53.314	258.515
-137.948	53.279	258.115
-135.831	53.036	257.699
-133.671	52.944	257.183
-131.537	52.782	256.630
-129.291	52.883	256.347
-127.127	52.910	255.866
-124.975	52.791	255.357
-122.714	52.707	255.128
-120.538	52.825	254.632
-118.398	52.499	254.027
-116.041	52.577	253.864
-113.847	52.499	253.287
-111.596	52.528	252.947
-109.353	52.316	252.606
-107.033	52.482	252.203
-104.833	52.182	251.881
-102.520	52.217	251.482
-100.933	50.805	250.252
-97.954	52.056	250.835
-95.646	52.073	250.376
-93.335	51.882	250.095
-91.059	51.860	249.678
-88.710	51.735	249.418
-86.423	51.642	249.051
